Date,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA
2024-01-25,2906.10888671875,2101.0,8856.2197265625,70700.671875,15510.5,1413.1300048828125,21352.599609375,16889.51953125
2024-01-26,2910.222900390625,2074.0,8762.330078125,,15455.3603515625,1421.0899658203125,,16949.109375
2024-01-29,2883.360107421875,2098.0,8581.759765625,71941.5703125,15628.0400390625,1422.0999755859375,21737.599609375,17040.599609375
2024-01-30,2830.527099609375,2097.0,8375.98046875,71139.8984375,15509.900390625,1426.3900146484375,21522.099609375,17089.4609375
2024-01-31,2788.548095703125,2117.0,8212.83984375,71752.109375,15164.009765625,1424.3699951171875,21725.69921875,16911.130859375
2024-02-01,2770.739990234375,2103.0,8240.48046875,71645.296875,15361.6396484375,1418.97998046875,21697.44921875,17115.580078125
2024-02-02,2730.152099609375,2104.0,8055.77001953125,72085.6328125,15628.9501953125,1416.4599609375,21853.80078125,17101.970703125
2024-02-05,2702.18505859375,2119.0,7964.7099609375,71731.421875,15597.6796875,1417.3399658203125,21771.69921875,17004.779296875
2024-02-06,2789.486083984375,2103.0,8460.3798828125,72186.09375,15609.0,1428.739990234375,21929.400390625,17135.48046875
2024-02-07,2829.696044921875,2108.0,8708.240234375,72152.0,15756.6396484375,1425.0400390625,21930.5,17212.3203125
2024-02-08,2865.903076171875,2125.0,8820.599609375,71428.4296875,15793.7099609375,1431.6400146484375,21717.94921875,17252.3203125
2024-02-09,,2120.0,,71595.4921875,15990.66015625,1436.3900146484375,21782.5,17275.869140625
2024-02-12,,,,71072.4921875,15942.5498046875,1442.1099853515625,21616.05078125,17332.4609375
2024-02-13,,2165.0,,71555.1875,15655.599609375,1427.3800048828125,21743.25,17068.5390625
2024-02-14,,2143.0,,71822.828125,15859.150390625,1432.1099853515625,21840.05078125,17240.189453125
2024-02-15,,2155.0,,72050.3828125,15906.169921875,1440.4100341796875,21910.75,17434.9296875
2024-02-16,,2180.0,,72426.640625,15775.650390625,1447.1300048828125,22040.69921875,17409.30078125
2024-02-19,2910.5439453125,2186.0,8902.330078125,72708.15625,,1445.1199951171875,22122.25,
2024-02-20,2922.72998046875,2188.0,8905.9599609375,73057.3984375,15630.7802734375,1441.719970703125,22196.94921875,17340.169921875
2024-02-21,2950.9560546875,2177.0,8975.9697265625,72623.09375,15580.8701171875,1445.06005859375,22055.05078125,17382.6796875
