,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA,ARIMA_000001.SS,RF_000001.SS,ARIMA_1592.T,RF_1592.T,ARIMA_399001.SZ,RF_399001.SZ,ARIMA_^BSESN,RF_^BSESN,ARIMA_^IXIC,RF_^IXIC,ARIMA_^N100,RF_^N100,ARIMA_^NSEI,RF_^NSEI,ARIMA_^NYA,RF_^NYA
2024-03-11,3068.455078125,2200.0,9581.5302734375,73502.640625,16019.26953125,1479.0799560546875,22332.650390625,17863.689453125,2939.823379043272,3260.382998046875,2009.28965287202,1502.25,9177.85574433728,12202.219619140626,73819.57847745152,55126.6546484375,15177.746553362173,12849.30642578125,1414.0177474015247,1196.1873974609375,22246.96904707454,16466.61220703125,17016.918655347297,15842.578193359375
2024-03-12,3055.93505859375,2201.0,9630.5498046875,73667.9609375,16265.6396484375,1491.5400390625,22335.69921875,17974.060546875,2939.145276090504,3234.1186987304686,2009.904309508842,1505.1,9171.051051304425,12052.21662109375,73850.81711399498,55633.4136328125,15180.97972059455,12880.16017578125,1414.3805705745262,1203.68990234375,22257.15433384685,16619.892451171876,17020.16332350477,15878.610458984374
2024-03-13,3043.8349609375,2199.0,9604.990234375,72761.890625,16177.76953125,1495.6600341796875,21997.69921875,18018.630859375,2938.467173137736,3212.9251928710937,2010.5189661456643,1511.94,9164.246358271566,12087.472939453124,73882.05575053845,56121.681015625,15184.21288782693,13131.05814453125,1414.743393747528,1214.353310546875,22267.339620619165,16769.377958984376,17023.407991662243,16032.496298828126
2024-03-14,3038.23388671875,2210.0,9555.419921875,73097.28125,16128.5302734375,1494.2900390625,22146.650390625,17886.26953125,2937.7890701849674,3181.3499975585937,2011.1336227824872,1522.1,9157.44166523871,12105.183642578126,73913.2943870819,56335.190859375,15187.446055059308,13154.104892578123,1415.1062169205295,1212.692608642578,22277.524907391475,16820.92345703125,17026.652659819712,16071.671181640624
2024-03-15,3054.635986328125,2208.0,9612.75,72643.4296875,15973.169921875,1492.530029296875,22023.349609375,17848.080078125,2937.110967232199,3151.719091796875,2011.7482794193097,1532.66,9150.636972205852,12090.610283203125,73944.53302362536,56596.515625,15190.679222291688,13214.706982421874,1415.469040093531,1217.7802099609376,22287.71019416379,16863.67748046875,17029.897327977185,16059.705263671874
2024-03-18,3084.926025390625,2238.0,9752.830078125,72748.421875,16103.4501953125,1494.489990234375,22055.69921875,17882.310546875,2936.4328642794308,3223.6984008789063,2012.362936056132,1560.27,9143.832279172995,12100.28142578125,73975.77166016883,57323.7044921875,15193.912389524066,13615.746884765626,1415.8318632665328,1258.9119958496094,22297.895480936106,17133.55751953125,17033.14199613466,16441.44736328125
2024-03-19,3062.756103515625,2281.0,9696.6904296875,72012.046875,16166.7900390625,1503.4200439453125,21817.44921875,17975.7890625,2935.7547613266624,3231.966721191406,2012.9775926929549,1567.0,9137.02758614014,12214.4915234375,74007.0102967123,57501.2595703125,15197.145556756444,13715.687119140624,1416.1946864395345,1259.8026892089845,22308.08076770841,17212.54763671875,17036.386664292128,16556.11705078125
2024-03-20,3079.68603515625,2281.0,9717.3701171875,72101.6875,16369.41015625,1501.7099609375,21839.099609375,18130.080078125,2935.0766583738946,3255.155126953125,2013.592249329777,1578.79,9130.222893107284,12335.66455078125,74038.24893325576,57625.4283203125,15200.378723988822,13775.390634765625,1416.5575096125358,1266.8656982421876,22318.26605448073,17234.10771484375,17039.6313324496,16609.3394140625
2024-03-21,3077.113037109375,2320.0,9682.509765625,72641.1875,16401.83984375,1516.3499755859375,22011.94921875,18214.119140625,2934.3985554211263,3252.258430175781,2014.2069059666,1587.06,9123.41820007443,12320.506591796877,74069.48756979921,57624.094921875,15203.6118912212,13846.08779296875,1416.9203327855375,1269.017607421875,22328.45134125304,17241.482763671876,17042.876000607073,16587.815458984376
2024-03-22,3048.033935546875,2336.0,9565.5595703125,72831.9375,16428.8203125,1515.0999755859375,22096.75,18112.0390625,2933.720452468358,3244.0052294921875,2014.821562603422,1602.0,9116.613507041571,12310.566953125,74100.72620634268,57642.654453125,15206.84505845358,13902.421923828126,1417.283155958539,1264.8197045898437,22338.63662802535,17248.60970703125,17046.120668764543,16595.157705078123
2024-03-25,3026.305908203125,2304.0,9422.6103515625,72831.9375,16384.470703125,1518.72998046875,22096.75,18077.150390625,2933.0423495155896,3225.1596069335938,2015.4362192402448,1616.51,9109.808814008717,12130.805810546875,74131.96484288614,57404.903671875,15210.078225685958,13964.68572265625,1417.6459791315406,1260.5181726074218,22348.82191479766,17175.36296875,17049.365336922016,16561.12279296875
2024-03-26,3031.48095703125,2309.0,9449.4296875,72470.296875,16315.7001953125,1523.2900390625,22004.69921875,18059.189453125,2932.364246562822,3212.6692944335937,2016.050875877067,1618.78,9103.00412097586,12009.25544921875,74163.2034794296,57632.6787890625,15213.311392918336,13880.727373046877,1418.0088023045423,1259.1733764648438,22359.007201569973,17233.294208984375,17052.610005079485,16524.96314453125
2024-03-27,2993.138916015625,2324.0,9222.4697265625,72996.3125,16399.51953125,1524.8800048828125,22123.650390625,18255.240234375,2931.686143610053,3231.176630859375,2016.6655325138893,1625.09,9096.199427943004,12089.67822265625,74194.44211597307,57558.8871875,15216.544560150716,13853.57306640625,1418.3716254775438,1258.3902868652344,22369.192488342283,17207.705693359374,17055.854673236958,16509.752099609374
2024-03-28,3010.6640625,2302.0,9342.919921875,73651.3515625,16379.4599609375,1526.3399658203125,22326.900390625,18312.669921875,2931.008040657285,3225.9255883789065,2017.280189150712,1630.82,9089.394734910147,12090.295087890623,74225.68075251652,57577.27671875,15219.777727383094,14079.52341796875,1418.7344486505451,1260.3645861816406,22379.3777751146,17225.489677734375,17059.09934139443,16647.26619140625
2024-03-29,3041.1669921875,2315.0,9400.849609375,73651.3515625,16379.4599609375,1526.3399658203125,22326.900390625,18312.669921875,2930.329937704517,3219.207673339844,2017.8948457875345,1635.96,9082.59004187729,12087.976044921876,74256.91938905999,57654.644140625,15223.010894615472,14092.675166015624,1419.097271823547,1271.9761071777343,22389.563061886907,17257.44228515625,17062.3440095519,16572.08380859375
2024-04-01,3077.37890625,2285.0,9647.0703125,74014.546875,16396.830078125,1526.3399658203125,22462.0,18216.189453125,2929.6518347517485,3288.3745751953124,2018.509502424357,1618.07,9075.785348844434,12235.099208984377,74288.15802560345,59580.9263671875,15226.24406184785,14227.3983984375,1419.4600949965486,1274.3046240234376,22399.74834865922,17828.2151171875,17065.588677709373,16651.0928125
2024-04-02,3074.958984375,2277.0,9586.9501953125,73903.90625,16240.4501953125,1521.0,22453.30078125,18107.529296875,2928.9737317989807,3287.465776367188,2019.1241590611796,1617.11,9068.980655811578,12215.759716796874,74319.39666214692,59876.6885546875,15229.47722908023,14138.699619140623,1419.82291816955,1271.6804150390626,22409.93363543153,17885.36064453125,17068.833345866846,16695.85013671875
